objectid,age,gender
61307478627bfbae31cd2a56,45.0,-1.0
613feac0bba4618becad8d6a,22.0,-1.0
6194d73d609d25628d41cb95,17.0,1.0
6130c4784a00cdf424262eff,51.0,1.0
6194d619609d25628d41c312,84.0,1.0
6130bf114a00cdf42425cbbe,59.0,1.0
6130bfa74a00cdf42425d667,82.0,1.0
6130be694a00cdf42425bf9b,55.0,-1.0
61307312627bfbae31cd0f5d,35.0,1.0
6130c1ba4a00cdf42425fc29,66.0,-1.0
611625f131ee975e584d2b39,55.0,-1.0
613074b1627bfbae31cd2ec7,58.0,1.0
6116295431ee975e584d6d54,62.0,-1.0
6130c3cb4a00cdf4242621d5,46.0,1.0
6130bd614a00cdf42425ad32,51.0,1.0
6116269131ee975e584d36f9,89.0,-1.0
6130c3e04a00cdf4242623aa,65.0,-1.0
6194d6a4609d25628d41c722,35.0,1.0
6130bd9e4a00cdf42425b184,62.0,-1.0
613fee26bba4618becadaf7e,75.0,-1.0
6116254e31ee975e584d1f2c,66.0,1.0
6116273831ee975e584d43e5,72.0,-1.0
613fedd8bba4618becadac63,54.0,-1.0
6194d989609d25628d41dca3,54.0,-1.0
6130bebe4a00cdf42425c5b0,53.0,-1.0
6130c1164a00cdf42425f084,8.0,1.0
6130bec14a00cdf42425c5ed,52.0,-1.0
6130be984a00cdf42425c2f0,56.0,1.0
6194da72609d25628d41e364,41.0,1.0
6194d67f609d25628d41c60e,47.0,-1.0
6130c2e44a00cdf424261135,84.0,-1.0
6116272931ee975e584d42c0,59.0,1.0
6130c42f4a00cdf424262997,74.0,-1.0
6116255531ee975e584d1fbe,85.0,1.0
6194d5a2609d25628d41bfa2,66.0,-1.0
6130c06d4a00cdf42425e477,46.0,1.0
61307476627bfbae31cd2a2f,69.0,1.0
6116279731ee975e584d4b3d,75.0,1.0
6130c4124a00cdf424262767,82.0,-1.0
613fec15bba4618becad9aa9,70.0,1.0
6116258231ee975e584d2321,42.0,-1.0
6116266231ee975e584d33a0,51.0,1.0
6116284531ee975e584d5802,37.0,1.0
61307392627bfbae31cd1905,73.0,-1.0
6130bf864a00cdf42425d417,58.0,1.0
6116298d31ee975e584d718b,65.0,1.0
6130c1934a00cdf42425f961,82.0,-1.0
613072a7627bfbae31cd073b,65.0,1.0
611626bc31ee975e584d3a56,66.0,1.0
611628d331ee975e584d6319,28.0,-1.0
6116281131ee975e584d543c,64.0,1.0
6130be5d4a00cdf42425beda,55.0,1.0
6130bf464a00cdf42425cf83,76.0,1.0
611625ba31ee975e584d2743,36.0,-1.0
6130bf9b4a00cdf42425d594,79.0,-1.0
6130c2584a00cdf424260795,81.0,-1.0
6194da39609d25628d41e1c1,52.0,1.0
6130bea84a00cdf42425c421,67.0,-1.0
6116274331ee975e584d44ac,77.0,1.0
6194d967609d25628d41db9f,73.0,-1.0
6130c30a4a00cdf4242613bf,37.0,1.0
6130bd7e4a00cdf42425af48,59.0,1.0
6116255431ee975e584d1faa,65.0,-1.0
6116266731ee975e584d3401,82.0,1.0
613fecaebba4618becada07e,73.0,-1.0
6130c0594a00cdf42425e317,52.0,-1.0
6116270831ee975e584d405d,61.0,1.0
613fedfcbba4618becadadd6,75.0,-1.0
6194d6a3609d25628d41c71a,76.0,1.0
6116287631ee975e584d5bfa,58.0,1.0
6116280431ee975e584d5350,30.0,-1.0
6130be3c4a00cdf42425bc9f,56.0,1.0
6130bfc64a00cdf42425d8c7,58.0,1.0
6194d5b2609d25628d41c015,52.0,-1.0
6194d769609d25628d41ccdb,49.0,1.0
6194da46609d25628d41e221,83.0,-1.0
611626aa31ee975e584d38e0,65.0,1.0
6130c05c4a00cdf42425e348,45.0,-1.0
6194d7fd609d25628d41d11f,71.0,1.0
61307443627bfbae31cd2636,63.0,-1.0
6116271831ee975e584d4182,75.0,-1.0
