훈련 로그 시작

Epoch 1 시작
Batch [1/858], Loss: 0.7002
Batch [2/858], Loss: 0.5073
Batch [3/858], Loss: 0.2992
Batch [4/858], Loss: 0.2080
Batch [5/858], Loss: 0.1998
Batch [6/858], Loss: 0.2124
Batch [7/858], Loss: 0.2378
Batch [8/858], Loss: 0.2049
Batch [9/858], Loss: 0.1860
Batch [10/858], Loss: 0.1795
Batch [11/858], Loss: 0.1936
Batch [12/858], Loss: 0.1788
Batch [13/858], Loss: 0.1769
Batch [14/858], Loss: 0.1755
Batch [15/858], Loss: 0.1665
Batch [16/858], Loss: 0.1865
Batch [17/858], Loss: 0.1807
Batch [18/858], Loss: 0.1537
Batch [19/858], Loss: 0.1695
Batch [20/858], Loss: 0.1713
Batch [21/858], Loss: 0.1818
Batch [22/858], Loss: 0.1658
Batch [23/858], Loss: 0.1654
Batch [24/858], Loss: 0.1521
Batch [25/858], Loss: 0.1614
Batch [26/858], Loss: 0.1808
Batch [27/858], Loss: 0.1431
Batch [28/858], Loss: 0.1721
Batch [29/858], Loss: 0.1725
Batch [30/858], Loss: 0.1686
Batch [31/858], Loss: 0.1761
Batch [32/858], Loss: 0.1678
Batch [33/858], Loss: 0.1725
Batch [34/858], Loss: 0.1657
Batch [35/858], Loss: 0.1706
Batch [36/858], Loss: 0.1758
Batch [37/858], Loss: 0.1576
Batch [38/858], Loss: 0.1578
Batch [39/858], Loss: 0.1625
Batch [40/858], Loss: 0.1676
Batch [41/858], Loss: 0.1650
Batch [42/858], Loss: 0.1409
Batch [43/858], Loss: 0.1545
Batch [44/858], Loss: 0.1589
Batch [45/858], Loss: 0.1634
Batch [46/858], Loss: 0.1578
Batch [47/858], Loss: 0.1750
Batch [48/858], Loss: 0.1762
Batch [49/858], Loss: 0.1706
Batch [50/858], Loss: 0.1533
Batch [51/858], Loss: 0.1658
Batch [52/858], Loss: 0.1613
Batch [53/858], Loss: 0.1424
Batch [54/858], Loss: 0.1711
Batch [55/858], Loss: 0.1733
Batch [56/858], Loss: 0.1620
Batch [57/858], Loss: 0.1545
Batch [58/858], Loss: 0.1573
Batch [59/858], Loss: 0.1523
Batch [60/858], Loss: 0.1652
Batch [61/858], Loss: 0.1658
Batch [62/858], Loss: 0.1834
Batch [63/858], Loss: 0.1685
Batch [64/858], Loss: 0.1658
Batch [65/858], Loss: 0.1458
Batch [66/858], Loss: 0.1633
Batch [67/858], Loss: 0.1618
Batch [68/858], Loss: 0.1602
Batch [69/858], Loss: 0.1465
Batch [70/858], Loss: 0.1519
Batch [71/858], Loss: 0.1584
Batch [72/858], Loss: 0.1643
Batch [73/858], Loss: 0.1528
Batch [74/858], Loss: 0.1431
Batch [75/858], Loss: 0.1774
Batch [76/858], Loss: 0.1704
Batch [77/858], Loss: 0.1518
Batch [78/858], Loss: 0.1475
Batch [79/858], Loss: 0.1546
Batch [80/858], Loss: 0.1772
Batch [81/858], Loss: 0.1396
Batch [82/858], Loss: 0.1432
Batch [83/858], Loss: 0.1585
Batch [84/858], Loss: 0.1519
Batch [85/858], Loss: 0.1420
Batch [86/858], Loss: 0.1512
Batch [87/858], Loss: 0.1690
Batch [88/858], Loss: 0.1423
Batch [89/858], Loss: 0.1729
Batch [90/858], Loss: 0.1757
