훈련 로그 시작

Epoch 1 시작
Batch [1/858], Loss: 0.7210
Batch [2/858], Loss: 0.5428
Batch [3/858], Loss: 0.3350
Batch [4/858], Loss: 0.2341
Batch [5/858], Loss: 0.2160
Batch [6/858], Loss: 0.2185
Batch [7/858], Loss: 0.1843
Batch [8/858], Loss: 0.1790
Batch [9/858], Loss: 0.1882
Batch [10/858], Loss: 0.1857
Batch [11/858], Loss: 0.1766
Batch [12/858], Loss: 0.1709
Batch [13/858], Loss: 0.1947
Batch [14/858], Loss: 0.1643
Batch [15/858], Loss: 0.1710
Batch [16/858], Loss: 0.1627
Batch [17/858], Loss: 0.1614
Batch [18/858], Loss: 0.1704
Batch [19/858], Loss: 0.2041
Batch [20/858], Loss: 0.1602
Batch [21/858], Loss: 0.1844
Batch [22/858], Loss: 0.1730
Batch [23/858], Loss: 0.1681
Batch [24/858], Loss: 0.1447
Batch [25/858], Loss: 0.1662
Batch [26/858], Loss: 0.1812
Batch [27/858], Loss: 0.1553
Batch [28/858], Loss: 0.1626
Batch [29/858], Loss: 0.1743
Batch [30/858], Loss: 0.1618
Batch [31/858], Loss: 0.1722
Batch [32/858], Loss: 0.1725
Batch [33/858], Loss: 0.1461
Batch [34/858], Loss: 0.1515
Batch [35/858], Loss: 0.1883
Batch [36/858], Loss: 0.1362
Batch [37/858], Loss: 0.1459
Batch [38/858], Loss: 0.1646
Batch [39/858], Loss: 0.1660
Batch [40/858], Loss: 0.1732
Batch [41/858], Loss: 0.1559
Batch [42/858], Loss: 0.1530
Batch [43/858], Loss: 0.1537
Batch [44/858], Loss: 0.1808
Batch [45/858], Loss: 0.1731
Batch [46/858], Loss: 0.1611
Batch [47/858], Loss: 0.1567
Batch [48/858], Loss: 0.1790
Batch [49/858], Loss: 0.1576
Batch [50/858], Loss: 0.1588
Batch [51/858], Loss: 0.1558
Batch [52/858], Loss: 0.1510
Batch [53/858], Loss: 0.1643
Batch [54/858], Loss: 0.1451
Batch [55/858], Loss: 0.1615
