훈련 로그 시작

Epoch [1/10]

Epoch 1 시작
Batch [1/858], 손실: 0.7054
Batch [2/858], 손실: 0.5047
Batch [3/858], 손실: 0.3211
Batch [4/858], 손실: 0.2121
Batch [5/858], 손실: 0.1780
Batch [6/858], 손실: 0.1931
Batch [7/858], 손실: 0.1777
Batch [8/858], 손실: 0.1782
Batch [9/858], 손실: 0.2023
Batch [10/858], 손실: 0.1801
Batch [11/858], 손실: 0.1836
Batch [12/858], 손실: 0.1689
Batch [13/858], 손실: 0.1832
Batch [14/858], 손실: 0.1727
Batch [15/858], 손실: 0.1469
Batch [16/858], 손실: 0.1677
Batch [17/858], 손실: 0.1584
Batch [18/858], 손실: 0.1666
Batch [19/858], 손실: 0.1657
Batch [20/858], 손실: 0.1834
Batch [21/858], 손실: 0.1779
Batch [22/858], 손실: 0.1830
Batch [23/858], 손실: 0.1935
Batch [24/858], 손실: 0.1595
Batch [25/858], 손실: 0.1648
Batch [26/858], 손실: 0.1623
Batch [27/858], 손실: 0.1540
Batch [28/858], 손실: 0.1649
Batch [29/858], 손실: 0.1593
Batch [30/858], 손실: 0.1942
Batch [31/858], 손실: 0.1320
Batch [32/858], 손실: 0.1578
Batch [33/858], 손실: 0.1616
Batch [34/858], 손실: 0.1506
Batch [35/858], 손실: 0.1687
Batch [36/858], 손실: 0.1791
Batch [37/858], 손실: 0.1752
Batch [38/858], 손실: 0.1543
Batch [39/858], 손실: 0.1720
Batch [40/858], 손실: 0.1728
Batch [41/858], 손실: 0.1700
Batch [42/858], 손실: 0.1573
Batch [43/858], 손실: 0.1586
Batch [44/858], 손실: 0.1609
Batch [45/858], 손실: 0.1664
Batch [46/858], 손실: 0.1610
Batch [47/858], 손실: 0.1779
Batch [48/858], 손실: 0.1726
Batch [49/858], 손실: 0.1637
Batch [50/858], 손실: 0.1847
Batch [51/858], 손실: 0.1497
Batch [52/858], 손실: 0.1470
Batch [53/858], 손실: 0.1462
Batch [54/858], 손실: 0.1486
Batch [55/858], 손실: 0.1725
Batch [56/858], 손실: 0.1819
Batch [57/858], 손실: 0.1456
Batch [58/858], 손실: 0.1588
Batch [59/858], 손실: 0.1499
Batch [60/858], 손실: 0.1642
Batch [61/858], 손실: 0.1602
Batch [62/858], 손실: 0.1557
Batch [63/858], 손실: 0.1363
Batch [64/858], 손실: 0.1355
Batch [65/858], 손실: 0.1456
Batch [66/858], 손실: 0.1461
Batch [67/858], 손실: 0.1563
Batch [68/858], 손실: 0.1456
Batch [69/858], 손실: 0.1327
Batch [70/858], 손실: 0.1544
Batch [71/858], 손실: 0.1782
Batch [72/858], 손실: 0.1524
Batch [73/858], 손실: 0.1627
Batch [74/858], 손실: 0.1555
Batch [75/858], 손실: 0.1744
Batch [76/858], 손실: 0.1606
Batch [77/858], 손실: 0.1858
Batch [78/858], 손실: 0.1255
Batch [79/858], 손실: 0.1651
Batch [80/858], 손실: 0.1575
Batch [81/858], 손실: 0.1459
Batch [82/858], 손실: 0.1597
Batch [83/858], 손실: 0.1578
Batch [84/858], 손실: 0.1700
Batch [85/858], 손실: 0.1344
Batch [86/858], 손실: 0.1385
Batch [87/858], 손실: 0.1508
Batch [88/858], 손실: 0.1398
Batch [89/858], 손실: 0.1575
Batch [90/858], 손실: 0.1353
Batch [91/858], 손실: 0.1591
Batch [92/858], 손실: 0.1521
Batch [93/858], 손실: 0.1409
Batch [94/858], 손실: 0.1467
Batch [95/858], 손실: 0.1310
Batch [96/858], 손실: 0.1420
Batch [97/858], 손실: 0.1718
Batch [98/858], 손실: 0.1582
Batch [99/858], 손실: 0.1275
Batch [100/858], 손실: 0.1361
Batch [101/858], 손실: 0.1476
Batch [102/858], 손실: 0.1615
Batch [103/858], 손실: 0.1447
Batch [104/858], 손실: 0.1454
Batch [105/858], 손실: 0.1295
Batch [106/858], 손실: 0.1393
Batch [107/858], 손실: 0.1536
Batch [108/858], 손실: 0.1385
Batch [109/858], 손실: 0.1719
Batch [110/858], 손실: 0.1538
Batch [111/858], 손실: 0.1681
Batch [112/858], 손실: 0.1641
Batch [113/858], 손실: 0.1339
Batch [114/858], 손실: 0.1729
Batch [115/858], 손실: 0.1518
Batch [116/858], 손실: 0.1406
Batch [117/858], 손실: 0.1485
Batch [118/858], 손실: 0.1445
Batch [119/858], 손실: 0.1407
Batch [120/858], 손실: 0.1456
Batch [121/858], 손실: 0.1397
Batch [122/858], 손실: 0.1513
Batch [123/858], 손실: 0.1324
Batch [124/858], 손실: 0.1308
Batch [125/858], 손실: 0.1357
Batch [126/858], 손실: 0.1426
Batch [127/858], 손실: 0.1234
Batch [128/858], 손실: 0.1348
Batch [129/858], 손실: 0.1445
Batch [130/858], 손실: 0.1229
Batch [131/858], 손실: 0.1405
Batch [132/858], 손실: 0.1338
Batch [133/858], 손실: 0.1737
Batch [134/858], 손실: 0.1557
Batch [135/858], 손실: 0.1559
Batch [136/858], 손실: 0.1375
Batch [137/858], 손실: 0.1568
Batch [138/858], 손실: 0.1385
Batch [139/858], 손실: 0.1448
Batch [140/858], 손실: 0.1442
Batch [141/858], 손실: 0.1585
Batch [142/858], 손실: 0.1378
Batch [143/858], 손실: 0.1396
Batch [144/858], 손실: 0.1257
Batch [145/858], 손실: 0.1608
Batch [146/858], 손실: 0.1332
Batch [147/858], 손실: 0.1439
Batch [148/858], 손실: 0.1524
Batch [149/858], 손실: 0.1190
Batch [150/858], 손실: 0.1389
Batch [151/858], 손실: 0.1134
Batch [152/858], 손실: 0.1384
Batch [153/858], 손실: 0.1590
Batch [154/858], 손실: 0.1542
Batch [155/858], 손실: 0.1291
Batch [156/858], 손실: 0.1523
Batch [157/858], 손실: 0.1587
Batch [158/858], 손실: 0.1626
Batch [159/858], 손실: 0.1341
Batch [160/858], 손실: 0.1756
Batch [161/858], 손실: 0.1330
Batch [162/858], 손실: 0.1627
Batch [163/858], 손실: 0.1268
Batch [164/858], 손실: 0.1233
Batch [165/858], 손실: 0.1519
Batch [166/858], 손실: 0.1518
Batch [167/858], 손실: 0.1358
Batch [168/858], 손실: 0.1590
