훈련 로그 시작

Epoch [1/10]

Epoch 1 시작
Batch [1/858], 손실: 0.8140
Batch [2/858], 손실: 0.5240
Batch [3/858], 손실: 0.2564
Batch [4/858], 손실: 0.2214
Batch [5/858], 손실: 0.1878
Batch [6/858], 손실: 0.1872
Batch [7/858], 손실: 0.1980
Batch [8/858], 손실: 0.1900
Batch [9/858], 손실: 0.1983
Batch [10/858], 손실: 0.1732
Batch [11/858], 손실: 0.1920
Batch [12/858], 손실: 0.1682
Batch [13/858], 손실: 0.1984
Batch [14/858], 손실: 0.1638
Batch [15/858], 손실: 0.1737
Batch [16/858], 손실: 0.1935
Batch [17/858], 손실: 0.1790
Batch [18/858], 손실: 0.1582
Batch [19/858], 손실: 0.1564
Batch [20/858], 손실: 0.1534
Batch [21/858], 손실: 0.1687
Batch [22/858], 손실: 0.1642
Batch [23/858], 손실: 0.1903
Batch [24/858], 손실: 0.1667
Batch [25/858], 손실: 0.1829
Batch [26/858], 손실: 0.1526
Batch [27/858], 손실: 0.1478
Batch [28/858], 손실: 0.1669
Batch [29/858], 손실: 0.1425
Batch [30/858], 손실: 0.1627
Batch [31/858], 손실: 0.1761
Batch [32/858], 손실: 0.1618
Batch [33/858], 손실: 0.1768
Batch [34/858], 손실: 0.1632
Batch [35/858], 손실: 0.1700
Batch [36/858], 손실: 0.1647
Batch [37/858], 손실: 0.1596
Batch [38/858], 손실: 0.1647
Batch [39/858], 손실: 0.1770
Batch [40/858], 손실: 0.1881
Batch [41/858], 손실: 0.1502
Batch [42/858], 손실: 0.1650
Batch [43/858], 손실: 0.1622
Batch [44/858], 손실: 0.1549
Batch [45/858], 손실: 0.1398
Batch [46/858], 손실: 0.1379
Batch [47/858], 손실: 0.1589
Batch [48/858], 손실: 0.1460
Batch [49/858], 손실: 0.1657
Batch [50/858], 손실: 0.1415
Batch [51/858], 손실: 0.1416
Batch [52/858], 손실: 0.1464
Batch [53/858], 손실: 0.1538
Batch [54/858], 손실: 0.1685
Batch [55/858], 손실: 0.1670
Batch [56/858], 손실: 0.1559
Batch [57/858], 손실: 0.1601
Batch [58/858], 손실: 0.1602
Batch [59/858], 손실: 0.1637
Batch [60/858], 손실: 0.1489
Batch [61/858], 손실: 0.1675
Batch [62/858], 손실: 0.1521
Batch [63/858], 손실: 0.1554
Batch [64/858], 손실: 0.1413
Batch [65/858], 손실: 0.1843
Batch [66/858], 손실: 0.1384
Batch [67/858], 손실: 0.1528
Batch [68/858], 손실: 0.1658
Batch [69/858], 손실: 0.1559
Batch [70/858], 손실: 0.1582
Batch [71/858], 손실: 0.1678
Batch [72/858], 손실: 0.1472
Batch [73/858], 손실: 0.1483
